valence,arousal
0.198,-0.097
0.193,-0.093
0.222,-0.095
0.216,-0.089
0.210,-0.061
0.194,-0.080
0.200,-0.118
0.200,-0.094
0.172,-0.085
0.164,-0.077
0.156,-0.057
0.140,-0.032
0.167,-0.030
0.173,-0.039
0.118,-0.097
0.131,-0.072
0.100,-0.071
0.105,-0.055
0.130,-0.052
0.116,-0.045
0.075,-0.052
0.096,-0.011
0.128,0.014
0.095,0.023
0.132,0.020
0.131,-0.009
0.103,-0.003
0.134,-0.003
0.131,0.026
0.132,0.021
0.180,0.032
0.180,0.019
0.157,0.019
0.154,0.018
0.152,0.040
0.138,0.031
0.160,0.036
0.169,0.017
0.146,-0.014
0.160,0.018
0.142,0.042
0.129,0.043
0.162,0.010
0.169,0.021
0.132,-0.007
0.141,0.013
0.155,0.057
0.135,0.035
0.139,0.036
0.096,0.029
0.095,0.020
0.095,0.021
0.126,0.075
0.109,0.036
0.110,0.047
0.081,0.045
0.089,0.029
0.060,0.034
0.089,0.089
0.050,0.073
0.065,0.077
0.064,0.065
0.064,0.045
0.062,0.044
0.084,0.072
0.067,0.038
0.054,0.025
0.066,0.020
0.059,0.036
0.057,0.031
0.074,0.068
0.077,0.043
0.070,0.032
0.060,0.014
0.056,0.066
0.073,0.046
0.038,0.090
0.041,0.080
0.030,0.074
0.062,0.075
0.088,0.084
0.068,0.090
0.068,0.104
0.059,0.097
0.058,0.102
0.044,0.105
0.075,0.126
0.041,0.159
0.041,0.176
0.019,0.195
0.016,0.202
0.025,0.146
0.028,0.184
0.015,0.171
0.029,0.195
0.017,0.204
0.045,0.192
-0.011,0.201
0.043,0.214
0.026,0.199
0.044,0.213
0.030,0.205
0.035,0.178
0.021,0.178
0.079,0.181
0.037,0.141
0.095,0.186
0.021,0.195
0.053,0.194
0.068,0.193
0.078,0.166
0.090,0.153
0.088,0.155
0.066,0.187
0.048,0.189
0.087,0.219
0.111,0.265
0.072,0.288
0.104,0.267
0.073,0.243
0.089,0.269
0.102,0.301
0.149,0.273
0.172,0.248
0.149,0.245
0.160,0.210
0.095,0.215
0.137,0.245
0.230,0.252
0.228,0.180
0.269,0.187
0.224,0.143
0.222,0.189
0.120,0.196
0.157,0.209
0.135,0.182
0.162,0.207
0.222,0.163
0.216,0.205
0.203,0.141
0.159,0.217
0.156,0.151
0.161,0.173
0.165,0.155
0.154,0.185
0.131,0.225
0.135,0.170
0.050,0.178
0.081,0.174
0.183,0.184
0.163,0.191
0.149,0.195
0.105,0.203
-0.016,0.270
0.047,0.200
0.080,0.207
0.125,0.189
-0.006,0.211
-0.023,0.230
-0.168,0.301
-0.121,0.277
-0.062,0.257
-0.057,0.245
-0.079,0.323
-0.099,0.312
-0.216,0.372
-0.138,0.332
-0.165,0.361
-0.128,0.352
-0.171,0.414
-0.174,0.401
-0.203,0.409
-0.142,0.350
-0.123,0.386
-0.100,0.360
-0.141,0.414
-0.118,0.395
-0.177,0.417
-0.093,0.403
-0.227,0.440
-0.195,0.409
-0.219,0.410
-0.186,0.391
-0.221,0.414
-0.202,0.382
-0.178,0.395
-0.192,0.355
-0.143,0.366
-0.179,0.374
-0.235,0.352
-0.220,0.363
-0.230,0.385
-0.260,0.386
-0.204,0.344
-0.261,0.336
-0.244,0.322
-0.188,0.308
-0.191,0.331
-0.238,0.349
-0.237,0.333
-0.218,0.310
-0.232,0.340
-0.184,0.362
-0.204,0.356
-0.227,0.372
-0.214,0.397
-0.183,0.362
-0.162,0.352
-0.179,0.366
-0.182,0.353
-0.197,0.356
-0.188,0.369
-0.164,0.353
-0.192,0.333
-0.172,0.356
-0.162,0.309
-0.137,0.344
-0.155,0.307
-0.306,0.391
-0.196,0.320
-0.169,0.291
-0.151,0.314
-0.146,0.305
-0.172,0.321
-0.201,0.363
-0.165,0.327
-0.139,0.296
-0.133,0.275
-0.132,0.276
-0.127,0.297
-0.190,0.354
-0.127,0.314
-0.182,0.328
-0.142,0.289
-0.110,0.263
-0.170,0.340
-0.275,0.425
-0.222,0.375
-0.241,0.388
-0.130,0.360
-0.150,0.372
-0.172,0.394
-0.238,0.453
-0.183,0.415
-0.255,0.414
-0.146,0.396
-0.150,0.389
-0.231,0.425
-0.235,0.472
-0.230,0.453
-0.223,0.414
-0.213,0.402
-0.203,0.375
-0.229,0.373
-0.263,0.423
-0.237,0.388
-0.268,0.364
-0.258,0.378
-0.242,0.338
-0.228,0.354
-0.258,0.422
-0.248,0.391
-0.188,0.343
-0.209,0.358
-0.160,0.314
-0.180,0.318
-0.230,0.336
-0.185,0.315
-0.192,0.311
-0.172,0.367
-0.149,0.325
-0.219,0.321
-0.159,0.327
-0.150,0.301
-0.138,0.320
-0.190,0.373
-0.128,0.311
-0.143,0.303
-0.104,0.297
-0.098,0.313
-0.153,0.322
-0.147,0.360
-0.091,0.297
-0.048,0.271
-0.074,0.331
-0.128,0.346
-0.095,0.312
-0.127,0.340
-0.141,0.354
-0.099,0.314
-0.165,0.359
-0.114,0.325
-0.134,0.332
