valence,arousal
-0.001,-0.108
-0.036,-0.108
0.002,-0.094
-0.003,-0.081
-0.024,-0.098
-0.039,-0.103
0.007,-0.090
-0.000,-0.085
-0.007,-0.090
-0.007,-0.067
-0.010,-0.066
-0.017,-0.077
-0.003,-0.086
-0.010,-0.071
-0.006,-0.076
-0.041,-0.065
-0.040,-0.076
-0.027,-0.071
0.010,-0.082
0.016,-0.072
0.036,-0.089
0.009,-0.092
0.030,-0.092
0.035,-0.093
0.002,-0.106
-0.038,-0.091
0.019,-0.085
-0.017,-0.081
-0.011,-0.102
-0.038,-0.105
-0.022,-0.100
-0.055,-0.116
-0.028,-0.116
-0.070,-0.115
-0.064,-0.127
-0.047,-0.114
-0.075,-0.110
-0.057,-0.110
-0.040,-0.102
-0.094,-0.127
-0.107,-0.124
-0.093,-0.108
-0.085,-0.131
-0.096,-0.141
-0.075,-0.144
-0.085,-0.150
-0.096,-0.140
-0.084,-0.138
-0.095,-0.121
-0.080,-0.122
-0.064,-0.102
-0.076,-0.115
-0.086,-0.120
-0.090,-0.135
-0.071,-0.112
-0.091,-0.122
-0.082,-0.123
-0.109,-0.132
-0.097,-0.079
-0.096,-0.111
-0.101,-0.100
-0.093,-0.100
-0.069,-0.088
-0.076,-0.106
-0.073,-0.080
-0.093,-0.080
-0.113,-0.073
-0.094,-0.100
-0.091,-0.095
-0.103,-0.120
-0.061,-0.064
-0.074,-0.086
-0.083,-0.096
-0.091,-0.090
-0.095,-0.068
-0.079,-0.110
-0.070,-0.068
-0.056,-0.087
-0.071,-0.087
-0.069,-0.110
-0.073,-0.091
-0.070,-0.087
-0.050,-0.072
-0.056,-0.099
-0.058,-0.087
-0.073,-0.097
-0.069,-0.072
-0.079,-0.100
-0.073,-0.086
-0.079,-0.086
-0.086,-0.084
-0.054,-0.095
-0.065,-0.087
-0.084,-0.093
-0.067,-0.080
-0.069,-0.106
-0.068,-0.101
-0.086,-0.096
-0.104,-0.080
-0.088,-0.100
-0.080,-0.095
-0.080,-0.114
-0.074,-0.113
-0.064,-0.128
-0.070,-0.090
-0.045,-0.086
-0.063,-0.082
-0.059,-0.094
-0.038,-0.099
-0.035,-0.113
-0.050,-0.089
-0.052,-0.105
-0.045,-0.112
-0.057,-0.108
-0.063,-0.101
-0.057,-0.109
-0.035,-0.106
-0.039,-0.105
-0.045,-0.100
-0.046,-0.096
-0.051,-0.113
-0.063,-0.118
-0.058,-0.104
-0.037,-0.105
-0.036,-0.123
-0.051,-0.088
-0.043,-0.121
-0.046,-0.125
-0.110,-0.104
-0.063,-0.097
-0.049,-0.100
